segment_id,risk_score,risk_level
1495666049,0.000607947,low
1495709343,0.0012503929,low
1495710061,0.38820466,medium
1495710062,0.5923579,medium
1495710063,0.4142394,medium
1495710064,0.4000199,medium
1495710065,0.4528373,medium
1495710066,0.5409181,medium
1495710067,0.43041405,medium
1495710068,0.4130308,medium
1495710069,0.40212774,medium
1495712055,0.028784286,low
1495712056,0.027779674,low
1495712071,0.0035103953,low
1495776775,0.0013489698,low
1495776776,0.00065799407,low
1495777859,0.0016256009,low
1495789756,0.0021635569,low
1495790865,0.0030526086,low
1495790866,0.0023181029,low
1495796672,0.0010142303,low
1495796690,0.0021037604,low
1495823642,0.02045646,low
1495823643,0.0042085918,low
1495824278,0.14027046,low
1495831792,0.004027959,low
1495831793,0.041389976,low
1495831794,0.0028908534,low
1495840145,0.109275624,low
1495843685,0.0016260296,low
1495843686,0.0017236195,low
1495843687,0.0013108741,low
1495852506,0.0039701876,low
1495852507,0.002263511,low
1495852508,0.0018936996,low
1495855709,0.0025821626,low
1495855710,0.003927826,low
1495855711,0.0015592745,low
1495859488,0.0019632706,low
1495865014,0.004275104,low
1495865016,0.0051520728,low
1495865017,0.007925754,low
1495865018,0.0028639226,low
1495865019,0.0021412524,low
1495865021,0.004555024,low
1495865022,0.0068946183,low
1495866158,0.0395298,low
1495866160,0.004520391,low
1495941571,0.011096114,low
1495941572,0.009801043,low
1495941573,0.0025564546,low
1495941787,0.42702278,medium
1496033856,0.004776623,low
1496033857,0.22720213,low
1496035301,0.0054250387,low
1496035302,0.0027847306,low
1496035330,0.0016200074,low
1496036004,0.0011746612,low
1496036005,0.002229899,low
1496036037,0.0021308388,low
1496036038,0.005476947,low
1496054560,0.0013221104,low
1496054561,0.0010381255,low
1496054562,0.001770625,low
1496054563,0.0023729987,low
1496054577,0.00087022723,low
1496055007,0.0022136907,low
1496055008,0.0027834503,low
1496055009,0.0012294615,low
1496055022,0.0048233154,low
1496055023,0.0031239248,low
1496055024,0.0044932347,low
1496069973,0.34424338,medium
1496069974,0.0054731015,low
1496085052,0.0019783077,low
1496085053,0.0042346325,low
1496085054,0.0020369058,low
1496085055,0.0021370833,low
1496525654,0.008111339,low
1496525655,0.0076548844,low
1496525656,0.0027549958,low
1496756476,0.0030800605,low
1496765191,0.0009200874,low
1496765192,0.0015180092,low
1496765193,0.0035332309,low
1496768067,0.0017375454,low
1496903279,0.6181319,medium
1496905010,0.0033508884,low
1496905013,0.006812224,low
1496905018,0.034531876,low
1496907825,0.0062479884,low
1496907838,0.001888823,low
1496907839,0.0041889497,low
1496907840,0.002485623,low
1496960866,0.14442894,low
1496997948,0.49777502,medium
1497010895,0.9177163,high
1497053111,0.6348842,medium
1497127585,0.007416969,low
1497130648,0.0051915967,low
1497131942,0.4301649,medium
1497131943,0.5844155,medium
1497131944,0.34563744,medium
1497217936,0.5195618,medium
1497217938,0.672308,medium
1497218228,0.5916243,medium
1497218229,0.6317664,medium
1497224939,0.39445806,medium
1497224940,0.6537489,medium
1497224941,0.6223073,medium
1497224942,0.057523374,low
1497225011,0.6477744,medium
1497225012,0.6973402,medium
1497225013,0.625557,medium
1497225014,0.6070888,medium
1497225015,0.61781734,medium
1497225036,0.66219217,medium
1497225037,0.6778937,medium
1497225148,0.9083321,high
1497277166,0.01207052,low
1497278478,0.020940652,low
1497278836,0.052980877,low
1497278837,0.15596958,low
1497279847,0.046610665,low
1497280082,0.001121569,low
1497295942,0.14009646,low
1497371648,0.0029402885,low
1497372841,0.0053280112,low
1497453509,0.007960142,low
1497453514,0.008234404,low
1497453515,0.010177129,low
1497453516,0.0053544007,low
1497453520,0.010514054,low
1497453521,0.0055227345,low
1497453522,0.0049376106,low
1497453523,0.004718488,low
1497455059,0.12042298,low
1497465093,0.0019766185,low
1497465434,0.009910189,low
1497465437,0.0046574925,low
1497465499,0.0010981347,low
1497465711,0.0023887998,low
1497466403,0.00078459043,low
1497466723,0.00029804566,low
1497469723,0.012508198,low
1497469724,0.015940389,low
1497469877,0.00638084,low
1497474940,0.004790352,low
1497474941,0.0044642244,low
1497484233,0.004030607,low
1497618800,0.011001818,low
1497618801,0.0010256554,low
1497618802,0.0011056951,low
1497659143,0.054320354,low
1497659732,0.0046080234,low
1497660166,0.0052459533,low
1497660167,0.0017669861,low
1497661516,0.00530738,low
1497683316,0.003199994,low
1497684910,0.009665401,low
1497684911,0.005823164,low
1497684912,0.0016881885,low
1497684913,0.003671794,low
1497684914,0.0028133471,low
1497684915,0.0024026164,low
1497684916,0.0016132833,low
1497684917,0.0068823006,low
1497688361,0.0018382077,low
1497736700,0.004433365,low
1497737046,0.019773979,low
1497750405,0.002217167,low
1498001712,0.0069140815,low
1498025227,0.64834934,medium
1498025228,0.6615261,medium
1498025229,0.676228,medium
1498025230,0.66189957,medium
1498025231,0.6434056,medium
1498025232,0.6812774,medium
1498025233,0.65463614,medium
1498025234,0.69505113,medium
1498025235,0.7065908,medium
1498059374,0.5252647,medium
1498122184,0.0013183709,low
1498122185,0.0013830904,low
1498122186,0.0039667366,low
1498122187,0.00312075,low
1498122188,0.0017991242,low
1498122482,0.003387878,low
1498122483,0.0033572007,low
1498122484,0.0017085911,low
1498122485,0.0016349085,low
1498122486,0.0017664033,low
1498122487,0.0010349567,low
1498122488,0.0020137844,low
1498122489,0.0012261886,low
1498122490,0.0030333472,low
1498122491,0.0015900189,low
1498122492,0.0028420382,low
1498122493,0.0028420382,low
1498123189,0.0012560807,low
1498123190,0.0011176276,low
1498123191,0.00074279204,low
1498302035,0.0035669347,low
1498418307,0.0018906567,low
1498418418,0.000976529,low
1498418419,0.0012016784,low
1498418420,0.0012464361,low
1498418452,0.0022863464,low
1498418509,0.0033649073,low
1498443888,0.00309391,low
1498443889,0.0023610743,low
1498443890,0.011610235,low
1498443891,0.019965718,low
1498443892,0.05612496,low
1498443893,0.0025084063,low
1498443894,0.0035026576,low
1498443895,0.009968274,low
1498443896,0.05577147,low
1498443897,0.060761154,low
1498443898,0.00317739,low
1498443899,0.0031062225,low
1498443900,0.018482806,low
1498443901,0.009601876,low
1498443902,0.03389066,low
1498443903,0.05986477,low
1498516501,0.059552345,low
1498516502,0.056224935,low
1498516503,0.051369518,low
1498516504,0.04280027,low
1498516505,0.04280027,low
1498518647,0.0019578713,low
1498518648,0.0016171642,low
1498518649,0.0008770741,low
1498518651,0.0022982268,low
1498520666,0.001313575,low
1498520667,0.0020362292,low
1498520668,0.002148342,low
1498520669,0.0020619044,low
1498520670,0.0024586844,low
1498520672,0.0023465948,low
1498520673,0.003335716,low
1498520674,0.0023896317,low
1498520675,0.0018868705,low
1498520676,0.0013981855,low
1498520677,0.0021669907,low
1498520682,0.0020610127,low
1498520683,0.0021806725,low
1498520684,0.0020000811,low
1498520897,0.0046647107,low
1498522163,0.13643171,low
1498522164,0.12371787,low
1498522165,0.28233224,low
1498522166,0.57553077,medium
1498778358,0.0052219927,low
